"Hardback | 278 pages",,"01 Dec 1980","Plenum Publishing Corporation",,"New York United States",English,,,,0306651947,9780306651946,
"Hardback | 278 pages",,"01 Dec 1980","Plenum Publishing Corporation",,"New York United States",English,,,,0306651947,9780306651946,
"Hardback | 364 pages",,"01 Mar 1980","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,"20 black &amp; white illustrations biography",0306404206,9780306404207,
"Hardback | 419 pages",,"01 Apr 1984","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,,0306416158,9780306416156,
"Hardback | 364 pages",,"01 Mar 1980","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,"20 black &amp; white illustrations biography",0306404206,9780306404207,
"Hardback | 512 pages","168 x 220mm | 788g","07 Aug 2016","Anness Publishing","LORENZ BOOKS","London United Kingdom",English,,,"1500 colour photographs",0754823423,9780754823421,
"Hardback | 334 pages","152 x 229mm | 788g","11 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"5 black &amp; white illustrations 25 black &amp; white tables 5 black &amp; white line drawings",0415727871,9780415727877,
"Paperback | 496 pages","178 x 232mm | 1000g","30 Mar 2017","Pearson Education (US)","Addison-Wesley Educational Publishers Inc","New Jersey United States",English,,,,0133521761,9780133521764,
"Paperback | 192 pages","140 x 220mm","01 Feb 1980","Monthly Review PressU.S.",,"New York United States",English,,,,0853455090,9780853455097,
"Hardback | 419 pages",,"01 Apr 1984","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,,0306416158,9780306416156,
"Hardback | 7 pages","156 x 234mm","28 Jul 2012","Ashgate Publishing Group","Ashgate Publishing Limited","Aldershot United Kingdom",English,"New edition","New edition",,0754637948,9780754637943,
"Hardback | 428 pages",,"01 Oct 1978","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,biography,0306400510,9780306400513,
"Hardback | 821 pages",,"01 Jul 1982","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,"194 black &amp; white illustrations biography",0306408155,9780306408151,
"Hardback | 512 pages","168 x 220mm | 788g","07 Aug 2016","Anness Publishing","LORENZ BOOKS","London United Kingdom",English,,,"1500 colour photographs",0754823423,9780754823421,
"Hardback | 194 pages",,"31 Dec 1995","Plenum Publishing Corporation",,"New York United States",English,,,"35 black &amp; white illustrations biography",0306303922,9780306303920,
"Hardback | 428 pages",,"01 Oct 1978","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,biography,0306400510,9780306400513,
"Paperback | 232 pages","213 x 277 x 20mm","15 Oct 2001","The University of Alabama Press",,"Alabama United States","English Hebrew",,,,0878202080,9780878202089,
"Paperback | 176 pages","150 x 230mm","01 Dec 1979","International Labour Office",,"Geneva Switzerland",English,,,tabs.,9221021718,9789221021711,
"Hardback | 308 pages",,"01 Oct 1980","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,,0306402874,9780306402876,
"Hardback | 821 pages",,"01 Jul 1982","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,"194 black &amp; white illustrations biography",0306408155,9780306408151,
"Hardback | 617 pages",,"31 Dec 1999","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany","English German",,4th,"black &amp; white tables bibliography",354064508X,9783540645085,
"Paperback | 232 pages","213 x 277 x 20mm","15 Oct 2001","The University of Alabama Press",,"Alabama United States","English Hebrew",,,,0878202080,9780878202089,
"Hardback | 308 pages",,"01 Oct 1980","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,,0306402874,9780306402876,
"Paperback | 116 pages",,"24 Apr 2006",TSO,"Stationery Office Books","Norwich United Kingdom",English,Illustrated,"illustrated edition","col. Illustrations",929191150X,9789291911509,
"Paperback | 320 pages","191 x 235mm","01 Oct 2020","Pearson Education (US)",Pearson,"United States",English,,,,0205289010,9780205289011,
"Paperback | 116 pages",,"24 Apr 2006",TSO,"Stationery Office Books","Norwich United Kingdom",English,Illustrated,"illustrated edition","col. Illustrations",929191150X,9789291911509,
"Hardback | 664 pages",,"31 Dec 1978",Springer,"Kluwer Academic Publishers","Dordrecht Netherlands",English,,,biography,9028609784,9789028609785,
"Hardback | 368 pages",,"04 Dec 2002","Steinkopff Darmstadt",,"Darmstadt Germany",German,,,,3798513392,9783798513396,
"Paperback | 320 pages","191 x 235mm","01 Oct 2020","Pearson Education (US)",Pearson,"United States",English,,,,0205289010,9780205289011,
"Paperback | 224 pages","191 x 235mm","15 May 2017","Pearson Education (US)","ALLYN &amp; BACON","Old Tappan United States",English,,,,0130474835,9780130474834,
"Paperback | 350 pages",,"31 May 2014","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9814578088,9789814578080,
"Hardback | 288 pages","156 x 234mm | 788g","01 Dec 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"10 black &amp; white tables 10 black &amp; white line drawings",1138782262,9781138782266,
"Hardback | 278 pages",,"07 Jul 1982","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440240,9789065440242,
"Paperback | 208 pages","150 x 250mm | 505g","06 Aug 2016","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,,,0470524707,9780470524701,
"Hardback | 664 pages",,"31 Dec 1978",Springer,"Kluwer Academic Publishers","Dordrecht Netherlands",English,,,biography,9028609784,9789028609785,
"Hardback | 792 pages","168 x 220mm | 505g","07 Aug 2016","Anness Publishing","LORENZ BOOKS","London United Kingdom",English,,,,0754825485,9780754825487,
"Hardback | 272 pages","185 x 240mm | 505g","30 Nov 2012","Carlton Books Ltd","Fiell Publishing Limited","London United Kingdom",English,,,"100 col",1906863474,9781906863470,1420330
"Spiral bound | 250 pages","216 x 276mm | 788g","14 Feb 2014","Pearson Education (US)","Prentice Hall","Upper Saddle River United States",English,,,,013312522X,9780133125221,
"Paperback | 224 pages","191 x 235mm","15 May 2017","Pearson Education (US)","ALLYN &amp; BACON","Old Tappan United States",English,,,,0130474835,9780130474834,
"Hardback | 272 pages","185 x 240mm | 505g","30 Nov 2012","Carlton Books Ltd","Fiell Publishing Limited","London United Kingdom",English,,,"100 col",1906863474,9781906863470,1420330
"Paperback | 26 pages","150 x 230mm","30 Nov 1975","American Library Association","ALA Editions","Chicago IL United States",English,,,forms,0838931715,9780838931714,
"Paperback | 166 pages",,"31 Dec 1979","American Library Association","ALA Editions","Chicago IL United States",English,,,,0838902650,9780838902653,
"Paperback | 400 pages","127 x 177.8mm | 505g","04 Jun 2013","Carlton Books",,"United States",English,,,"370 COLOUR &amp; B/W",1780972962,9781780972961,
"Paperback | 320 pages","152 x 228mm","01 Jun 2011","Fortress PressU.S.",,"United States",English,,2nd,,0800696603,9780800696603,1907758
