"Paperback | 206 pages","138 x 216mm","09 Mar 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,,1138823627,9781138823624,
"Hardback | 199 pages","148 x 210mm","17 Jul 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,,"16 black &amp; white illustrations 9 colour illustrations 12 black &amp; white tables biography",1137537175,9781137537171,
"Mixed media product | 250 pages","188.98 x 246.13 x 20.07mm","05 Feb 2015","Cengage Learning Inc","CENGAGE Learning Custom Publishing","Mason OH United States",English,,,,1305634276,9781305634275,
"Paperback | 168 pages",,"01 Dec 1996","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,"figs.; tables",9251038082,9789251038086,
"Paperback | 166 pages","140 x 216mm | 505g","01 Jun 2016","Cambridge Library Collection","CAMBRIDGE UNIVERSITY PRESS","Cambridge United Kingdom",English,,,"1 b/w illus.",110807913X,9781108079136,
"Hardback | 32 pages",,"29 Jun 2009","McGraw-Hill Education - Europe","McGraw Hill Higher Education","London United States",English,,,,0073016756,9780073016757,
"Paperback | 304 pages","129 x 198mm","28 Jun 2016",Hyperion,,"New York United States",English,,,,1484716175,9781484716175,2097481
"Paperback | 450 pages","82 x 110mm","01 Apr 2013","Industrial Press Inc.U.S.",,"New York United States",English,,,,0831134623,9780831134624,
"Paperback | 144 pages",,"28 Feb 1986","American Library Association","ALA Editions","Chicago IL United States",English,Revised,"5th Revised edition",,0838933262,9780838933268,
"Mixed media product | 1144 pages","193 x 260mm","13 Feb 2009","Springer-Verlag New York Inc.",,"New York NY United States",English,,"2009 ed.",biography,1402082878,9781402082870,
"Hardback | 430 pages","170 x 244mm","14 Sep 2016","Wiley-VCH Verlag GmbH","Blackwell Verlag GmbH","Berlin Germany",English,,"2. Auflage.",,3527339701,9783527339709,
"Hardback | 480 pages","170 x 244mm","17 Aug 2016","Wiley-VCH Verlag GmbH","Blackwell Verlag GmbH","Berlin Germany",English,,"1. Auflage","280 schwarz-weiße Abbildungen 20 schwarz-weiße Tabellen",3527341196,9783527341191,
"Paperback | 64 pages",,"30 Dec 2011","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9251067147,9789251067147,
"Paperback | 256 pages","152 x 229mm","09 Apr 2020","John Wiley and Sons Ltd","BLACKWELL PUBLISHERS","Oxford United Kingdom",English,,,"further reading bibliography index",0631198814,9780631198819,
"Paperback | 140 pages","140 x 220mm","01 Nov 1981","World Health Organization",,"Geneva Switzerland",English,,,"diagrs; tables",9241540761,9789241540766,
"Paperback | 151 pages","140 x 220mm","01 Jun 1989","World Health Organization",,"Geneva Switzerland",English,,,,9241540893,9789241540896,
"Paperback | 48 pages","140 x 220mm","01 Jul 1984","World Health Organization",,"Geneva Switzerland",English,,,,9241540915,9789241540919,
"Hardback | 450 pages",,"28 Feb 1977","Kluwer Academic Publishers Group","Kluwer Academic / Plenum Publishers","Dordrecht Netherlands",English,,,"Illustrations 1port.",0306309211,9780306309212,
"Paperback | 280 pages","120 x 190mm","14 Nov 2017","Springer vs",,"United States",German,,"1. Aufl. 2018 ed.",,3531135805,9783531135809,
"Paperback | 46 pages",,"01 Jan 1995","The Nordic Africa Institute",,"Uppsala Sweden",English,,,,9171063153,9789171063151,
"Paperback | 456 pages","152.4 x 228.6mm","20 Jul 2016","McGill-Queen&#039;s University Press",,"Montreal Canada",English,,,"19 tables",077354738X,9780773547384,
"Paperback | 117 pages","150 x 210mm | 505g","05 Dec 2014","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy",English,,,,9251084335,9789251084335,
"Hardback | 304 pages","280 x 355mm | 788g","16 May 2016",daab,,Germany,English,,"De Luxe edition",,3942597330,9783942597333,
"Hardback | 448 pages","170 x 244mm | 788g","17 Feb 2017","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,,,0470858095,9780470858097,
"Hardback | 320 pages","189 x 246mm | 250g","01 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"8 black &amp; white tables 13 black &amp; white halftones 24 black &amp; white line drawings",1138143855,9781138143852,
"Hardback | 456 pages","152.4 x 228.6mm","01 Jul 2016","McGill-Queen&#039;s University Press",,"Montreal Canada",English,,,"19 tables",0773547371,9780773547377,
"Paperback | 259 pages",,"22 Apr 2009","World Trade Organization",,"Geneva Switzerland",Spanish,,,,9287034095,9789287034090,
"CD-ROM | 2000 pages",,"15 May 2006","Taylor &amp; Francis Ltd","Chapman &amp; Hall/CRC","United States",English,,2nd,,0412633302,9780412633300,
"Paperback | 624 pages","178 x 232mm","30 Sep 2011","Pearson Education (US)","Longman Inc","New Jersey United States",English,Revised,"7th Revised edition","Illustrations 1form",0205059236,9780205059232,
"Hardback | 472 pages",,"02 Dec 1998","World Scientific Publishing Co Pte Ltd",,"Singapore Singapore",English,,,,9810234023,9789810234027,
"Hardback | 500 pages","155 x 235mm","10 Apr 2017","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,,"100 black &amp; white illustrations biography",3642288324,9783642288326,
"Paperback | 123 pages","210 x 297mm","20 Sep 2001",TSO,"Stationery Office Books","Norwich United Kingdom",English,,,figs.tabs.,9289700874,9789289700870,
"Hardback | 256 pages",,"01 Jan 2009","John Wiley and Sons Ltd","John Wiley &amp; Sons Inc","New York United States",English,,,,047131496X,9780471314967,
"Paperback | 250 pages","148.08 x 210.06mm","11 Jul 2016","Springer vs",,"United States",German,,"1. Aufl. 2016 ed.",,3658013850,9783658013851,
"Leather | 1664 pages",,"16 Jul 2015","Thomas Nelson Publishers",,"Nashville United States",English,,,"maps charts",0718009134,9780718009137,
"Hardback | 160 pages","240 x 300mm | 788g","01 Sep 2016","Edition Axel Menges",,"Fellbach Germany",German,"New edition",,"300 illus",3936681856,9783936681857,
"Hardback | 233 pages",,"01 Aug 1980","Springer Science+Business Media","Kluwer Academic/Plenum Publishers","United States",English,,,biography,0306402521,9780306402524,
"Hardback | 256 pages","156 x 234mm","31 Oct 2016","Taylor &amp; Francis Ltd",,"London United Kingdom",English,,,,0415830613,9780415830614,
"Hardback | 200 pages","110 x 180mm","09 Aug 2016","Kube Publishing Ltd",,"Markfield United Kingdom",English,,,,1847740812,9781847740816,1673387
"Hardback | 329 pages","148 x 210mm","18 Jul 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"1st ed. 2016","11 black &amp; white illustrations 4 colour illustrations biography",1137545747,9781137545749,
"Hardback | 304 pages","156 x 234mm","05 Oct 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"1 black &amp; white illustrations 6 black &amp; white tables 1 black &amp; white line drawings",113890029X,9781138900295,
"Paperback | 296 pages",,"01 Jan 1983","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440496,9789065440495,
"Paperback | 136 pages","152 x 229mm","08 Nov 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,"1 black &amp; white tables",113889866X,9781138898660,
"Hardback | 336 pages","174 x 246mm","15 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"117 black &amp; white illustrations 23 black &amp; white tables 75 black &amp; white halftones 19 black &amp; white line drawings",1138936294,9781138936294,
"Paperback | 344 pages","156 x 234mm","01 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138803421,9781138803428,
"Hardback | 202 pages","152 x 229mm","20 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138182419,9781138182417,
"Paperback | 256 pages","216 x 280mm","01 Jun 1980","National Academies Press",,"Washington United States",English,,,Ill.(1col.).,0309029287,9780309029285,
"Paperback | 250 pages","152 x 229mm","01 Jan 2017","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,,113894937X,9781138949379,
"Hardback | 240 pages","156 x 234mm","07 Sep 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,113865695X,9781138656956,
"Hardback | 152 pages","156 x 234mm","13 Sep 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"28 black &amp; white illustrations 6 black &amp; white tables 9 black &amp; white halftones 19 black &amp; white line drawings",1138892513,9781138892514,
"Paperback | 301 pages",,"01 Dec 1996","Food &amp; Agriculture Organization of the United Nations (Fao)",,"Rome Italy","English French",,,"graphs; tables",9250038240,9789250038247,
"Hardback | 700 pages","155 x 235mm","09 Mar 2021","Springer-Verlag New York Inc.",,"New York NY United States",English,,"2021 ed.","100 black &amp; white illustrations biography",1461446473,9781461446477,
"Hardback | 380 pages","150 x 250mm","26 Dec 2017","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,,,0470404027,9780470404027,
"Hardback | 898 pages",,"01 Mar 1984","Plenum Publishing Corporation",,"New York United States",English,,"1984 ed.",biography,0306413841,9780306413841,
"Paperback | 384 pages","178 x 232mm | 1000g","25 May 2020","Pearson Education (US)","Addison-Wesley Educational Publishers Inc","New Jersey United States",English,,,,0321823257,9780321823250,
"Paperback | 446 pages","210 x 297mm","30 Jul 1999","The Stationery Office Books (Agencies)",TSO,"London United Kingdom",English,,,"colour illustrations colour maps",9291572020,9789291572021,
"Paperback | 147 pages",,"02 Dec 1982","Kluwer Law International",,"Zuidpoolsingel Netherlands",English,,,,9065440437,9789065440433,
"Paperback | 155 pages",,"28 Feb 2000","European Environment Agency",,"s United Kingdom",English,,,Col.ill.tabs.,9291671630,9789291671632,
"Paperback | 137 pages",,"30 Mar 2000","European Environment Agency",,"s United Kingdom",English,,,Col.ill.figs.tabs.M.,9291671649,9789291671649,
"Hardback | 528 pages","152 x 229mm","28 Jan 2008","University of Toronto Press",,"Toronto Canada",English,,,,0802089828,9780802089823,
"Paperback | 528 pages","152 x 229mm","15 Mar 2010","University of Toronto Press",,"Toronto Canada",English,,,,0802086462,9780802086464,
"Paperback | 53 pages","160 x 250mm","01 Oct 1984",IAEA,,"Vienna Austria",English,,,,9201234848,9789201234841,
"Paperback | 416 pages","178 x 232mm | 1000g","31 Mar 2013","Pearson Education (US)","Addison-Wesley Educational Publishers Inc","New Jersey United States",English,,,,0321774582,9780321774583,
"Paperback | 218 pages",,"30 Jun 2001","B Jain Publishers Pvt Ltd",,"New Delhi India",English,,,,8170211654,9788170211655,
"Hardback | 240 pages","177.8 x 254mm","30 Jun 2016","Island Press",,"Washington United States",English,,,"79 b&amp;w photographs 11 tables 41 b&amp;w figures 7 colour photographs",161091354X,9781610913546,
"Hardback | 272 pages","155.58 x 234.95mm","31 Jul 2016","Taylor &amp; Francis Ltd",Paradigm,"London United Kingdom",English,,,,1612057713,9781612057712,
"Hardback | 500 pages","193 x 270mm","23 Jul 2017","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. KG","Springer-Verlag Berlin and Heidelberg GmbH &amp; Co. K","Berlin Germany",English,,"2016 ed.",,3540560610,9783540560616,
"Mixed media product | 1685 pages","155 x 235mm","08 Oct 2013",Springer,,"Dordrecht Netherlands",English,,2013,"5 black &amp; white illustrations 49 colour illustrations biography",9400725132,9789400725133,
"Paperback | 211 pages","138 x 216mm","01 Jan 1998","SPRINGER VERLAG GMBH",,"Vienna Austria",English,,,"30 figures",3211829601,9783211829608,
"Hardback | 240 pages","152 x 229mm","11 Oct 2019","John Wiley and Sons Ltd","Wiley-Blackwell (an imprint of John Wiley &amp; Sons Ltd)","Chicester United Kingdom",English,,,,0631156682,9780631156680,
"Paperback | 176 pages","235 x 255mm","22 Sep 2016","Octopus Publishing Group",Ilex,"Lewes United Kingdom",English,,,,1781572380,9781781572382,
"Hardback | 256 pages","152 x 229mm","28 Apr 2006","Pi Press",,"United States",English,,,,0131857797,9780131857797,
"Hardback | 192 pages","152.4 x 228.6mm","15 Aug 2016","Indiana University Press",,"Bloomington IN United States",English,,,"8 b&amp;w illus. 1 map",0253022851,9780253022851,
"Hardback | 256 pages","156 x 234mm","12 Sep 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138193798,9781138193796,
"Paperback | 480 pages","150 x 250mm","24 Mar 2016","John Wiley and Sons Ltd","John Wiley &amp; Sons Ltd","Chichester United Kingdom",English,,,,0470082143,9780470082140,
"Hardback | 176 pages","138 x 216mm | 490g","07 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,Revised,"2nd Revised edition",,1138955426,9781138955424,
"Hardback | 344 pages","171 x 246mm","31 Mar 2017","Oxford University Press",,"Oxford United Kingdom",English,,,,0199674337,9780199674336,
"Hardback | 151 pages","148 x 210mm | 329g","12 Aug 2016","Palgrave MacMillan","Palgrave Pivot","Basingstoke United Kingdom",English,,"1st ed. 2016","2 colour illustrations biography",1137499931,9781137499936,
"Hardback | 238 pages","152 x 229mm | 600g","28 Apr 2016","Taylor &amp; Francis Ltd","Psychology Press Ltd","Hove United Kingdom",English,,"Classic Ed",,1138913367,9781138913363,
"Hardback | 236 pages","148 x 210mm | 419g","31 Jul 2016","Palgrave MacMillan",,"Basingstoke United Kingdom",English,,"2016 ed.","1 colour illustrations 1 black &amp; white tables biography",1137433965,9781137433961,
"Hardback | 414 pages","174 x 246mm | 872g","14 Jun 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"8 black &amp; white illustrations 16 black &amp; white tables 8 black &amp; white line drawings",1138778125,9781138778122,627112
"Paperback | 64 pages","216 x 299 x 6mm","13 Sep 2016","Ulisses Medien und Spiel Distribution GmbH",,"Waldems Germany",English,,,,3957522943,9783957522948,
"Paperback | 192 pages","174 x 246mm","30 Jun 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,,1138973335,9781138973336,
"Paperback | 272 pages","156 x 234mm | 500g","16 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,"17 black &amp; white illustrations 7 black &amp; white tables",1138982172,9781138982178,
"Hardback | 160 pages","210 x 297mm | 440g","14 Apr 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138173754,9781138173750,
"Paperback | 284 pages","156 x 234mm | 530g","22 May 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,,1138909017,9781138909014,
"Paperback | 408 pages","155.96 x 233.93mm","01 Sep 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,,1138817546,9781138817548,
"Paperback | 216 pages","152 x 229mm","18 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,Reprint,"2 black &amp; white tables 1 black &amp; white line drawings",113812009X,9781138120099,
"Hardback | 216 pages","152 x 229mm","19 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"2 black &amp; white tables 1 black &amp; white line drawings",1138120081,9781138120082,
"Hardback | 216 pages","156 x 234mm","22 Nov 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"1 black &amp; white line drawings",1138186066,9781138186064,
"Paperback | 392 pages","169 x 244mm","25 Aug 2016","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,"280 bw illus",1472577485,9781472577481,
"Hardback | 224 pages","156 x 234mm","06 Oct 2016","Bloomsbury Publishing PLC","Bloomsbury Academic","London United Kingdom",English,,,"25 bw illus",1472526120,9781472526120,
"Hardback | 256 pages","140 x 210mm","05 Aug 2016","The Perseus Books Group","Da Capo Lifelong","Camnridge US United States",English,,,,0738217832,9780738217833,
"Hardback | 166 pages","156 x 234mm","20 Jul 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,113867110X,9781138671102,
"Hardback | 240 pages","156 x 234mm","30 Aug 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,,1138684163,9781138684164,
"Hardback | 336 pages","156 x 234mm","21 Nov 2016","Taylor &amp; Francis Ltd",ROUTLEDGE,"London United Kingdom",English,,,"15 black &amp; white illustrations 1 black &amp; white tables 15 black &amp; white line drawings",1138666734,9781138666733,
"Mixed media product | 62 pages","178 x 203 x 25mm | 270g","01 Oct 2016","Scholastic US",,"New York United States",English,,,,1338037544,9781338037548,
